customer_id,age,gender,state,city,income_level,top_category,device_type,acquisition_channel,loyalty_tier,session_frequency,avg_session_duration,cart_abandonment_rate,returns_ratio,discount_dependency,avg_order_value,frequency,seasonal_spike_factor,monetary_value,time_between_purchases,recency,net_promoter_score,churn
C00001,57,Female,Telangana,Hyderabad,High,Fashion,Mobile,Organic Search,Prime,25,3.2,0.17,0.34,Medium,4268,8,1.13,38583,46,73,41,0
C00002,57,Female,Maharashtra,Mumbai,Medium,Beauty,Desktop,Organic Search,Non-Prime,5,14.2,0.31,0.08,High,1415,2,1.11,3141,182,280,32,0
C00003,34,Male,Telangana,Hyderabad,Medium,Electronics,Mobile,Influencer,Prime,13,4.5,0.14,0.06,Medium,16803,8,1.21,162653,46,24,81,0
C00004,34,Male,Karnataka,Mysuru,Medium,Books,Mobile,Organic Search,Non-Prime,19,2.5,0.32,0.04,Medium,908,1,1.11,1008,365,529,25,1
C00005,35,Female,Kerala,Kochi,Low,Home & Kitchen,Mobile,Influencer,Prime,18,3.9,0.12,0.09,Medium,2899,9,1.06,27656,41,49,77,0
C00006,21,Female,Maharashtra,Pune,High,Books,Desktop,Direct,Non-Prime,10,11.4,0.46,0.04,High,858,1,1.21,1038,365,402,11,1
C00007,26,Female,Karnataka,Bengaluru,High,Electronics,Mobile,Direct,Prime,25,2.1,0.09,0.04,Low,43846,8,1.24,434952,46,47,74,0
C00008,56,Male,Kerala,Thiruvananthapuram,Low,Home & Kitchen,Mobile,Email,Prime,20,5.1,0.15,0.14,Medium,3720,12,1.32,58925,30,30,48,0
C00009,21,Female,Telangana,Hyderabad,Medium,Beauty,Mobile,Email,Prime,10,3.2,0.18,0.06,Medium,1944,8,1.19,18507,46,78,58,0
C00010,45,Male,Tamil Nadu,Coimbatore,Medium,Grocery,Mobile,Paid Ads,Non-Prime,28,5,0.44,0.03,Medium,1962,1,1.18,2315,365,652,39,1
C00011,34,Female,Kerala,Kochi,Low,Books,Mobile,Direct,Prime,19,4.4,0.18,0.03,Medium,407,7,1.28,3647,52,97,73,0
C00012,22,Female,Tamil Nadu,Chennai,Medium,Beauty,Desktop,Direct,Prime,9,6.1,0.13,0.07,Medium,2002,7,1.29,18078,52,113,76,0
C00013,28,Male,Maharashtra,Pune,Medium,Home & Kitchen,Mobile,Social Media,Non-Prime,26,3.2,0.38,0.12,Medium,6207,1,1.22,7573,365,769,31,1
C00014,41,Female,Tamil Nadu,Chennai,Medium,Electronics,Desktop,Email,Non-Prime,8,10.9,0.18,0.04,Low,17276,2,1.1,38007,182,334,43,0
C00015,31,Female,West Bengal,Kolkata,Low,Grocery,Mobile,Influencer,Non-Prime,16,2.7,0.29,0.02,Medium,1367,2,1.18,3226,182,376,25,0
