customer_id,recency,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,RFM_Segment,Cluster
C00001,73,8,38583,4,4,4,12,Loyal Customers,3
C00002,280,2,3141,2,2,2,6,At Risk,3
C00003,24,8,162653,5,4,5,14,Champions,3
C00004,529,1,1008,1,1,1,3,Lost,0
C00005,49,9,27656,5,5,4,14,Champions,3
C00006,402,1,1038,2,1,1,4,Lost,0
C00007,47,8,434952,5,4,5,14,Champions,1
C00008,30,12,58925,5,5,5,15,Champions,3
C00009,78,8,18507,4,4,4,12,Loyal Customers,3
C00010,652,1,2315,1,1,1,3,Lost,0
C00011,97,7,3647,3,4,2,9,Potential Loyalists,3
C00012,113,7,18078,3,4,4,11,Loyal Customers,3
C00013,769,1,7573,1,1,2,4,Lost,0
C00014,334,2,38007,2,2,4,8,Potential Loyalists,0
C00015,376,2,3226,2,2,2,6,At Risk,0
C00016,198,4,2540,3,3,1,7,Potential Loyalists,3
C00017,553,1,2294,1,1,1,3,Lost,0
C00018,39,9,20648,5,5,4,14,Champions,3
C00019,116,6,14887,3,4,3,10,Loyal Customers,3
C00020,684,1,668,1,1,1,3,Lost,0
C00021,523,1,4217,1,1,2,4,Lost,0
C00022,92,8,86533,4,4,5,13,Champions,3
C00023,192,1,2501,3,1,1,5,At Risk,3
C00024,429,1,8495,1,1,3,5,At Risk,0
C00025,25,17,127646,5,5,5,15,Champions,3
C00026,32,7,21469,5,4,4,13,Champions,3
C00027,104,5,10854,3,3,3,9,Potential Loyalists,3
C00028,360,1,5371,2,1,2,5,At Risk,0
C00029,42,5,6083,5,3,2,10,Loyal Customers,3
C00030,128,2,26343,3,2,4,9,Potential Loyalists,3
C00031,57,8,21951,4,4,4,12,Loyal Customers,3
C00032,401,1,5275,2,1,2,5,At Risk,0
C00033,26,15,31641,5,5,4,14,Champions,3
C00034,16,26,49764,5,5,5,15,Champions,2
C00035,88,6,13822,4,4,3,11,Loyal Customers,3
C00036,160,5,9266,3,3,3,9,Potential Loyalists,3
C00037,74,8,9710,4,4,3,11,Loyal Customers,3
C00038,95,6,5307,4,4,2,10,Loyal Customers,3
C00039,611,1,18588,1,1,4,6,At Risk,0
C00040,78,4,13105,4,3,3,10,Loyal Customers,3
C00041,30,26,65272,5,5,5,15,Champions,2
C00042,512,1,8911,1,1,3,5,At Risk,0
C00043,86,7,42430,4,4,5,13,Champions,3
C00044,344,1,3400,2,1,2,5,At Risk,0
C00045,78,9,177209,4,5,5,14,Champions,3
C00046,319,1,3749,2,1,2,5,At Risk,0
